Run,Run ID,metric,step,timestamp,value
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,161500,1760366950388,0.55
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,163000,1760366971439,0.61
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,164000,1760366985963,0.65
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,165500,1760367006426,0.65
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,166500,1760367020524,0.67
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,168000,1760367041015,0.68
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,169000,1760367055404,0.71
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,170500,1760367076220,0.75
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,171500,1760367090237,0.77
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,173000,1760367111729,0.82
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,174000,1760367125643,0.81
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,175500,1760367146663,0.84
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,176500,1760367160200,0.81
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,178000,1760367181539,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,179000,1760367195173,0.82
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,180500,1760367216058,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,181500,1760367230145,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,183000,1760367251294,0.87
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,184000,1760367265671,0.87
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,185500,1760367286324,0.86
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,186500,1760367300343,0.85
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,188000,1760367321388,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,189000,1760367335578,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,190500,1760367356860,0.83
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,191500,1760367371016,0.84
