#{"t_start": 1759989829.561061, "env_id": "None"}
r,l,t
5485.415912,252,1436.270714
2236.617149,38,1437.118209
10547.943957,86,1438.859576
10858.618159,84,1440.540693
11699.971776,162,1443.611175
10356.521431,88,1445.316489
10777.101587,96,1447.239624
10864.688497,86,1448.91449
11230.724859,217,1452.90433
2741.842373,54,1454.149106
11270.603517,116,1456.343734
10120.659814,73,1457.82469
10319.683121,76,1459.422378
5991.540189,174,1462.903556
10246.828891,75,1464.536618
2171.003184,40,1465.536474
10170.524844,75,1467.052097
10137.811838,73,1468.560579
10344.394743,81,1470.11307
11748.499501,126,1472.523921
10721.020439,91,1474.382286
2193.709599,39,1475.269392
11047.738679,89,1477.188162
5070.37412,229,1481.368584
3620.190171,247,1485.974291
11677.300189,132,1488.474221
11238.023243,92,1490.241917
11373.815496,203,1494.31901
10090.081726,72,1495.84339
11524.869827,168,1499.045869
10142.478987,73,1500.584998
2233.363342,41,1501.479237
2127.825498,40,1502.432082
11160.451653,91,1504.174031
10851.706688,94,1506.189157
11676.005003,165,1509.133452
5705.117008,252,1513.687595
9645.935438,67,1515.05284
9785.299631,77,1516.552689
10119.133632,73,1518.031004
10874.988066,83,1519.577509
9976.744609,72,1520.971218
10173.379374,73,1522.722234
10180.024638,73,1524.220846
9994.355034,75,1525.838475
9558.226008,66,1527.268117
9733.181588,69,1528.661835
11534.968399,157,1531.753285
10644.128332,89,1533.525139
10280.69317,79,1535.075881
11286.488789,238,1539.218743
2316.838763,41,1540.133894
10147.604249,72,1541.67918
9685.889446,68,1543.036974
10178.966809,74,1544.43266
10203.572536,74,1545.918884
9855.584321,72,1547.335868
4120.816282,84,1548.973315
10520.909529,86,1550.765176
3973.267814,252,1555.853871
10948.909968,86,1557.697215
10317.372208,78,1559.28133
10778.090482,83,1560.987665
4256.916018,252,1565.484659
10301.486854,76,1567.114763
11624.822253,109,1569.338867
10091.830827,72,1571.043988
10083.488859,72,1573.487324
10274.457486,86,1575.929399
9907.909772,72,1577.798929
10230.923084,78,1579.803469
9955.171769,72,1581.797719
10176.009921,73,1583.991807
11762.313735,150,1588.428294
6479.359034,252,1593.783048
4603.417482,252,1599.049796
10637.338364,102,1601.400158
10455.34985,97,1603.597148
11219.206562,94,1605.897405
10202.23705,76,1607.677381
10889.068262,84,1609.555248
11829.24685,144,1612.496832
2578.444403,45,1613.604389
11139.729455,89,1615.761935
11773.86057,159,1619.725951
2695.208607,53,1621.23382
11789.755363,125,1624.653327
10871.897978,85,1626.631512
2519.695573,243,1631.660919
10231.366044,75,1633.4371
10508.270185,87,1635.455918
2365.074745,97,1637.941762
10796.638239,84,1639.844831
10157.99014,72,1641.543357
2371.064727,56,1642.881535
3798.93706,149,1646.470299
10219.945098,73,1648.376201
10126.389248,73,1650.181276
2140.032768,39,1651.158766
3939.304406,252,1656.460382
10810.101244,82,1658.356068
10135.197376,72,1660.012536
10886.164043,120,1662.652056
2329.694762,41,1663.678502
2294.832917,42,1664.768201
10119.268312,74,1666.420359
2587.839622,45,1667.813402
11719.37552,210,1672.296672
11653.54158,136,1675.367114
10305.079387,80,1677.522597
10157.966674,73,1679.546004
9597.056702,65,1681.084194
4387.333785,252,1686.230841
10290.693347,77,1687.948254
10818.065883,94,1690.050253
11387.448482,97,1692.710389
9934.183129,72,1695.034908
10127.040898,78,1697.140257
2237.5403,40,1698.581739
10141.771043,76,1701.157849
11139.024162,92,1704.209414
4889.386505,252,1711.627741
10158.630101,76,1714.159646
10485.447812,92,1716.606223
10241.179653,75,1718.301287
10402.886779,80,1720.332059
9838.145686,73,1722.189996
11475.529851,108,1724.864321
9964.328114,76,1727.05981
9400.414113,63,1729.119401
9802.350044,72,1731.373384
10075.786768,74,1733.200644
9535.908005,65,1734.89618
11497.219277,125,1738.036129
10168.577292,73,1740.216345
10370.723516,78,1742.125163
11315.152413,96,1744.386675
10885.41148,84,1746.430367
10172.274397,74,1748.29541
2172.877675,252,1753.634652
10186.421196,78,1755.465104
11720.035007,127,1758.193969
1591.497807,36,1759.40736
11417.292961,139,1763.218824
11150.924718,92,1765.774758
10215.588669,74,1767.683323
9564.099422,66,1769.365575
10013.640166,74,1771.369394
10136.48623,73,1773.175678
11117.689748,99,1775.605988
9932.76103,80,1777.489545
10046.785607,73,1779.336472
3759.438216,118,1782.28769
9994.922408,73,1784.191238
10347.061299,79,1786.117783
10089.691102,73,1787.828603
11739.49871,162,1792.236219
3851.460006,252,1799.301487
10112.808913,72,1801.603206
10258.679495,76,1803.42319
1079.28576,26,1804.212134
2558.097671,46,1805.365113
11565.305619,122,1808.323539
10135.800473,73,1810.165769
10281.265641,76,1811.972411
11223.911162,94,1814.326231
10182.161461,72,1816.662881
9746.110817,70,1818.640748
10391.308952,84,1820.643906
10840.524862,91,1823.367147
3270.983118,61,1824.805402
10132.847569,76,1826.653827
11020.642133,88,1828.756235
10954.021502,94,1831.177941
3900.584924,61,1833.08585
10160.722295,75,1834.958508
10286.139578,78,1837.707903
10985.15992,90,1840.317101
11137.229147,92,1842.89598
10781.59073,90,1845.682986
773.291539,20,1846.426871
4288.591131,252,1853.087294
11161.757408,102,1856.429778
11054.882534,89,1859.057755
10207.019887,75,1861.103237
9559.542118,66,1863.317042
10114.383867,73,1865.32116
10306.907896,76,1867.172341
10249.263326,78,1869.014423
10086.30076,74,1870.724351
10985.260903,95,1872.976326
4287.878548,252,1878.576517
10127.801073,74,1880.322346
11039.464424,91,1882.678426
10126.493533,75,1884.468135
3536.784697,252,1889.962181
11506.908822,114,1892.814564
10968.875048,88,1895.035775
11489.932941,120,1897.61135
11513.630275,125,1900.461097
4870.715984,252,1905.936342
11320.426063,102,1908.428242
10095.629742,76,1910.237505
11031.231909,87,1912.221383
11300.68592,95,1914.35873
11678.736457,190,1918.243686
4420.23967,252,1923.659472
11138.766387,91,1926.2677
10055.041357,76,1928.019855
10803.086256,92,1930.119053
3721.484223,252,1936.093905
3684.593082,252,1942.810074
11820.155979,143,1947.467163
10072.797357,74,1950.059623
10801.30174,95,1953.318723
11276.320113,126,1956.657246
4901.318045,252,1962.683834
10136.609521,75,1964.620748
10164.375645,73,1966.506587
10143.947651,71,1968.491401
10280.638368,77,1970.478006
3229.881271,106,1973.146202
9959.311577,72,1975.078148
10212.30389,78,1977.102026
10491.93543,82,1979.19384
4013.838855,252,1985.22576
10892.1741,85,1987.469221
10287.852627,76,1989.510636
10540.450987,104,1992.049796
11004.941325,87,1994.253705
10814.797954,83,1996.395422
10004.216394,73,1998.418802
11499.588446,104,2001.197412
10272.260425,78,2003.215621
10052.271909,73,2005.290081
10331.438547,87,2007.520384
11284.688669,94,2009.951949
10918.321453,95,2012.415787
11040.911662,88,2014.904949
11345.489701,100,2017.430271
9962.310719,80,2019.588571
10188.491037,73,2021.499758
10682.457704,90,2023.78414
10188.260591,74,2025.977654
9968.237292,75,2028.061257
10453.120736,79,2030.133569
5377.224009,137,2033.39709
10333.318354,76,2035.295829
3363.643455,83,2037.456541
9575.986787,68,2039.396942
10119.620879,79,2041.74351
10941.057965,86,2044.210944
10214.102685,74,2046.439554
10876.6204,84,2048.758144
10237.372102,77,2050.824654
9639.628193,69,2052.73175
2235.966056,42,2054.243339
10319.089595,76,2056.371423
11054.209684,89,2058.755569
10291.568242,76,2060.930995
10266.940694,74,2062.94522
11033.304122,90,2065.896748
9822.465969,72,2067.916394
10191.596615,74,2070.334589
10116.722749,75,2072.32929
3425.035694,252,2078.495564
9624.925408,68,2080.295228
11194.987697,101,2082.846604
11667.257347,173,2087.102946
10142.075937,72,2089.250072
4793.234537,252,2095.394224
4283.744298,252,2101.395298
10065.068786,70,2103.24485
10128.734571,72,2105.141628
9716.043151,72,2107.016484
9708.317338,69,2108.873762
9849.849976,68,2110.706224
10069.824267,82,2112.765478
10559.521848,86,2115.002258
10263.446339,80,2117.079308
10536.067763,85,2119.241293
10353.385444,80,2121.48508
11070.407381,89,2123.762522
529.225553,18,2124.416503
10142.638456,74,2126.322555
11155.510529,107,2128.877628
10394.528523,77,2130.935191
11118.141178,109,2133.675478
10253.937387,79,2135.704115
11460.275014,116,2138.524283
4691.699463,252,2144.334713
11272.035082,94,2146.807034
5466.33156,252,2152.68679
10297.314894,79,2154.824432
10219.178005,75,2156.687587
9596.05842,68,2158.543003
10304.383208,76,2160.55005
10422.437187,90,2162.739008
10155.072388,82,2164.831365
10387.957273,78,2166.826107
10283.241664,75,2168.755299
10060.867341,83,2170.883674
10310.830165,77,2172.821887
10589.369215,95,2175.195689
10204.909512,76,2177.074118
10051.394562,83,2179.132833
992.728759,24,2180.059918
11142.458214,89,2182.20841
10389.47812,80,2184.24617
10172.389783,74,2186.143556
4083.530355,252,2192.123064
10324.582235,80,2194.151643
11284.07138,95,2196.62166
11261.072102,96,2198.997264
10763.56049,92,2201.274616
9475.660659,66,2203.04795
10044.944705,82,2205.078815
10408.699254,91,2207.295861
11525.309643,109,2210.185973
11185.453336,93,2212.48674
11253.438213,105,2215.101539
11280.973133,225,2220.311213
11816.349043,154,2224.045711
11093.807031,102,2226.448253
10157.845854,74,2228.339653
11278.726567,124,2231.3832
10245.135712,75,2233.36385
10131.922599,76,2235.341186
719.124763,21,2236.108664
10324.712358,80,2238.13996
10952.568123,98,2240.639845
10234.342481,75,2243.025333
10218.271222,75,2245.126533
9874.816131,73,2247.133528
10582.663919,109,2249.912291
10191.099101,77,2251.807601
10346.777843,81,2253.599152
11336.993487,95,2255.662495
10301.824483,79,2257.411599
