#{"t_start": 1760348287.3870606, "env_id": "None"}
r,l,t
-793.449776,13,1185.816149
9514.93961,91,1187.974826
8890.851643,95,1190.334007
9479.083419,92,1192.501566
9859.3828,94,1194.684214
10117.302212,90,1196.79691
9158.171883,90,1198.962958
10215.844673,90,1201.225629
9999.014798,93,1203.543762
9371.011434,95,1206.371347
9951.012445,92,1208.655715
10111.048622,89,1210.793478
9781.630332,94,1213.035713
10044.956656,91,1215.323708
9629.696978,90,1217.498972
9331.11444,92,1219.790214
10017.157641,94,1222.037725
9481.138061,91,1224.20312
10297.010434,88,1226.415659
10127.213454,92,1228.667764
9972.510427,90,1230.893242
10127.564335,91,1233.114546
9506.663646,89,1235.442471
9759.71257,90,1237.962923
9514.638415,89,1240.318997
9452.827205,93,1242.557356
9643.222482,87,1244.660342
10837.718262,99,1246.991852
10178.363262,90,1249.087382
9370.017229,94,1251.537414
10094.279587,89,1253.720144
9331.338758,90,1255.952421
9454.942174,105,1258.387554
10218.070514,92,1260.818063
10195.666015,93,1263.082948
9757.357187,88,1265.389964
9951.950081,92,1268.117302
8843.216211,90,1270.56643
9496.969077,90,1272.783485
10211.503089,94,1275.013578
10226.796341,95,1277.401087
9391.191896,93,1279.661165
9688.042792,91,1281.899279
9168.909864,87,1283.973357
9976.645282,90,1286.208468
9722.60485,86,1288.38592
9826.74264,89,1290.694057
9948.008534,89,1292.865734
10015.811092,90,1295.011697
9907.531399,89,1297.067746
9720.324201,90,1299.647992
10044.099915,93,1302.364615
10048.039865,93,1304.673602
10161.609323,95,1306.917839
10105.120279,90,1309.03346
9976.252776,89,1311.231445
10133.564993,89,1313.525436
9924.026966,89,1315.709064
10360.177674,88,1317.841785
9621.173323,91,1320.012839
10067.596295,90,1322.166833
9504.886536,94,1324.366501
9130.603492,89,1326.599127
10053.316583,88,1328.81337
10284.787668,88,1331.3731
10496.219774,90,1333.694861
9727.317931,93,1335.894766
9078.271779,88,1337.925208
9976.195226,87,1340.136406
9994.114713,94,1342.393237
9459.429503,89,1344.565536
9843.968034,90,1346.643502
10032.563611,94,1348.880264
9367.745823,87,1351.041392
10470.796644,96,1353.346196
10443.307671,88,1355.425377
10342.083047,89,1357.554927
10108.948632,88,1359.787638
10011.905171,87,1362.562538
10423.999781,87,1364.796273
9277.145423,88,1366.934621
10165.11159,88,1369.104571
10124.132841,91,1371.343272
10315.243262,90,1373.576341
10304.154773,93,1375.875481
9960.769945,88,1378.111017
10031.436185,90,1380.267072
9779.828238,90,1382.404574
10405.247552,100,1384.783341
10327.752747,88,1386.824114
10002.875815,88,1389.092485
10021.890924,86,1391.244645
9966.356517,92,1394.114901
10213.653908,99,1396.434618
9921.600121,90,1398.612019
10477.231643,92,1400.94271
9935.574281,91,1403.299082
8556.105467,98,1405.698373
9292.311752,90,1407.854368
10159.905163,99,1410.228665
9694.360624,91,1412.398073
10142.50771,89,1414.694725
10394.876067,90,1416.878944
10525.021862,92,1419.106801
10279.208852,87,1421.263614
9861.893411,88,1423.747125
10067.526249,89,1426.368221
9714.444693,89,1428.574849
9902.789915,90,1430.724015
10636.118748,89,1432.877943
10389.757112,86,1434.962891
9814.023749,89,1437.017228
9519.254417,87,1439.231494
9601.613932,85,1441.380357
10552.144705,88,1443.639833
9560.027117,85,1445.647543
9993.815557,87,1447.778319
10005.46619,86,1449.75492
10237.503742,88,1451.96906
10324.023319,88,1454.226071
10554.038153,97,1456.931121
9585.347099,86,1458.962408
10296.5046,89,1461.071886
