#{"t_start": 1759989430.8115149, "env_id": "None"}
r,l,t
9285.410058,75,823.992329
9612.837219,76,825.517815
8634.173329,75,827.051802
8268.093028,75,828.818204
9156.899581,71,830.498579
8221.483793,77,832.485323
7961.075332,75,834.31634
9258.823938,78,835.977477
9154.767256,74,837.603308
8771.01405,77,839.257715
9406.389279,72,840.918718
7974.087278,75,843.043028
8796.289008,76,845.286756
9627.601375,75,847.041397
9569.265522,75,848.874849
9271.287693,75,850.704322
9804.260661,83,852.520363
8146.987918,75,854.292813
7364.790951,79,855.972273
9810.231344,76,857.59601
9915.992436,76,859.25541
7796.012793,78,861.067943
9516.645089,75,862.777155
9410.021406,73,864.464609
8421.343197,76,866.041211
9016.328493,77,867.700628
8896.7131,78,869.464895
8322.124349,70,871.016482
7670.990625,77,872.73002
9369.027065,76,874.510511
9283.661764,76,876.257643
8330.590958,77,877.949635
7626.782756,82,879.672867
9310.763129,81,881.448219
8526.826948,82,883.283438
9408.06083,75,884.961417
9251.886717,79,886.771382
9025.42357,77,888.423331
9341.513359,82,890.310045
9129.774853,78,892.493526
7524.647938,79,894.8923
7080.101946,77,896.97981
8377.017263,76,899.053736
9277.458818,74,901.027378
9326.514029,75,902.816711
9402.026888,75,904.541409
9984.981055,75,906.404235
8940.959738,79,908.198986
8273.140717,78,909.968262
8473.460213,76,911.823624
8500.848009,76,913.523056
10146.753499,79,915.322418
8096.206389,75,917.197121
8413.210237,73,918.919818
9482.920966,75,920.546888
8990.623096,75,922.203545
9801.19962,77,924.341409
8695.330693,74,926.404724
8500.336201,78,928.145001
9282.942643,76,929.860969
8023.678345,78,931.707333
8412.290228,72,933.330771
9670.784613,79,935.122121
9403.276415,76,936.99842
6675.654054,79,938.831201
9265.806856,74,940.593538
8285.150124,80,942.309781
8918.628827,76,944.075312
9190.637352,77,945.855556
9771.535633,77,947.691088
9089.126509,78,949.426576
9434.97092,75,951.13019
9205.40879,82,952.976255
9796.601456,80,954.82637
8721.72994,77,957.097532
9640.074827,76,958.860997
8803.10551,78,960.834989
9484.280002,77,962.808703
9492.95253,74,964.584834
9815.50242,75,966.357779
9918.398175,77,968.200841
8208.732326,83,969.939821
9616.790705,79,971.67794
10003.126837,80,973.45672
9503.273668,78,975.233473
9410.35388,78,976.990501
8560.775062,82,978.787117
9911.520102,78,980.564212
8799.073103,80,982.655777
9223.70731,79,984.58044
9972.822722,79,986.976692
9259.298306,81,989.327135
9052.75915,79,991.451635
9893.278303,73,993.292432
9698.866064,76,995.391648
9879.259503,78,997.329184
9524.437597,78,999.355067
10083.53454,80,1001.890965
9883.55952,86,1004.704391
9695.742381,78,1006.881734
9840.95661,77,1009.499727
9892.333441,81,1011.551775
9564.653785,76,1013.258078
9574.194574,76,1014.92342
10079.561459,78,1016.59575
9854.400606,83,1018.773595
8877.217519,77,1020.834098
10000.695682,79,1022.667816
9438.427816,75,1024.343819
8076.458132,78,1026.08624
9932.163267,78,1027.801692
9528.854631,78,1029.581603
9221.727291,80,1031.472012
10012.918081,82,1033.657453
9664.041784,79,1035.539122
9994.913131,80,1037.243455
9667.641155,77,1038.9082
9559.925144,77,1040.537444
9703.513665,81,1042.331861
8536.904862,79,1044.091902
9843.174518,81,1045.895517
9607.085359,82,1047.792311
10094.61164,81,1049.683496
8738.997132,82,1051.880433
10228.173207,75,1053.524309
9575.548569,77,1055.196819
9332.692429,79,1057.098769
9942.357155,80,1058.82187
9611.458852,78,1060.522966
9506.228792,77,1062.332257
9548.202962,79,1064.302135
9342.333695,79,1066.008384
9480.17521,80,1067.798707
9872.623955,80,1069.615726
8443.761882,80,1071.286435
9355.286098,82,1073.319971
8471.371964,77,1075.129151
9662.081002,76,1076.874357
9027.394896,78,1078.688064
8790.036178,80,1081.078752
662.655013,32,1082.188389
9304.93488,90,1083.949654
-117.097493,22,1084.527942
-572.436519,18,1085.048692
-425.556518,20,1085.649339
8624.332283,70,1087.036094
267.272448,19,1087.57882
8490.283185,81,1089.176583
9798.113447,84,1090.751854
10063.911786,86,1092.533554
9057.661856,87,1094.605831
7720.655955,107,1096.567557
-211.56239,33,1097.326422
-851.296498,39,1098.205159
8351.789183,83,1099.781125
4933.311694,112,1101.975877
1871.219144,67,1103.329648
-427.42154,52,1104.438028
9938.117552,87,1106.06973
9665.1695,86,1107.770249
9033.531331,88,1109.511779
8969.161599,90,1111.177579
9074.450039,81,1113.090816
8585.217871,82,1114.97518
1160.433691,37,1115.787523
9154.066435,91,1117.482495
8525.279771,90,1119.20893
9945.884134,92,1120.986811
1407.111681,37,1121.855429
1051.669051,29,1122.560266
9163.114441,84,1124.236584
9411.45428,91,1126.191232
8778.920795,86,1127.89496
1061.425036,31,1128.619294
2469.02461,56,1129.801024
7556.123208,101,1131.748998
9645.524201,89,1133.709194
1638.78,42,1134.622559
8908.539431,84,1136.234953
1646.965499,35,1137.079084
1075.350165,34,1137.846388
464.757415,32,1138.572689
8600.204854,85,1140.227117
659.881783,36,1141.053476
9724.851851,87,1142.778375
10311.024823,85,1144.744579
9334.708246,88,1146.591036
-592.06826,41,1147.452938
1434.185301,35,1148.392484
8761.09783,78,1149.920494
7471.6074,82,1151.519128
9438.852811,93,1153.298643
595.725776,35,1154.122258
1677.473902,41,1155.032114
9655.134075,81,1156.889022
1031.4309,30,1157.61637
8163.380486,81,1159.228103
1341.189169,36,1160.011041
9560.212352,93,1161.795568
7645.351351,84,1163.530305
990.485983,31,1164.297412
-242.24116,35,1165.134195
9853.841535,84,1166.775782
9125.241459,85,1168.397085
794.315438,32,1169.134821
8538.976512,89,1170.860769
-982.435151,39,1171.717828
9864.563099,84,1173.286849
1462.27592,36,1174.122025
9112.574559,80,1175.989532
9390.760629,85,1177.72143
10087.373024,88,1179.389842
1283.360516,37,1180.295605
8168.050919,87,1181.979244
1153.997857,31,1182.682346
-805.924862,106,1184.690636
10450.254278,89,1186.44134
8799.596038,88,1188.425994
8815.483444,87,1190.169892
1369.215827,35,1190.980587
1488.699095,39,1191.84929
9450.487615,86,1193.524793
9059.549423,85,1195.405472
10073.347129,85,1197.120004
8993.750012,84,1198.788024
9294.961008,82,1200.53007
1766.172103,116,1202.802112
717.337056,37,1203.746513
8517.652415,113,1206.041846
8038.697717,86,1208.317037
1107.826885,40,1210.160514
