#{"t_start": 1760343927.40677, "env_id": "None"}
r,l,t
4855.789287,130,497.734889
5025.001961,115,499.656715
3700.153371,171,502.392372
4569.596189,111,504.340991
8339.561329,121,506.363192
10292.717654,115,508.275005
5813.5167,118,510.188563
11011.884232,114,512.338369
10892.600457,108,514.528408
11016.003124,174,517.641175
4922.169692,126,519.646685
9640.201568,116,521.55679
9669.148838,109,523.461802
3057.800645,118,525.431117
10488.365317,196,528.539286
1498.347915,42,529.362125
10584.61048,114,531.395823
10721.675723,124,533.389278
2148.611722,59,534.438686
5002.728074,115,536.246336
3879.374662,128,538.321344
4274.459991,113,540.192413
10332.837239,103,541.922653
5185.839139,118,544.177722
10967.555453,126,546.73109
4457.352301,117,548.684617
10903.208914,107,550.438352
3838.896149,141,552.816504
10543.817898,114,554.702068
10909.800687,114,556.639723
11359.218466,176,559.462813
10988.270082,112,561.284471
788.976369,44,562.118129
11140.097367,115,564.001537
9728.944479,121,565.975258
9542.629741,100,567.644111
9756.434874,100,569.331309
10103.146664,115,571.185964
10120.853679,106,573.066137
1003.652985,28,573.858972
10948.88768,111,576.165574
10679.494923,114,578.255602
9334.137941,100,579.941836
11129.178828,108,581.752193
4488.23115,78,583.151621
10569.981809,115,585.047669
11452.336978,112,586.868741
10849.193958,111,588.726566
9462.339274,104,590.421487
11056.173799,99,592.133032
10068.678592,99,593.800374
11077.541717,116,595.639599
10776.06274,115,597.507089
10444.130825,98,599.270409
10132.85345,116,601.161317
10513.103963,101,602.835313
10232.352168,112,604.914477
10879.457857,119,607.305279
10499.260492,111,609.343097
4749.184413,116,611.1808
10914.539589,114,613.064716
9841.537886,113,614.894471
9867.577616,114,616.797137
-339.149726,187,619.774303
10682.893396,115,621.644049
4311.517865,117,623.658347
10749.73028,104,625.464411
10640.113557,112,627.293748
11160.671337,114,629.164409
10548.508919,111,630.945389
10610.259341,111,632.803175
10211.170858,114,634.777092
10881.626024,112,636.993841
10941.200168,113,639.212423
10568.40248,103,640.877069
11179.527656,118,642.886171
3027.337199,88,644.368161
4035.062333,91,645.866662
10615.4153,104,647.687217
9981.451211,101,649.370466
10772.94729,113,651.301319
10559.312545,100,652.972829
9500.934389,98,654.561219
10648.584293,110,656.350302
10084.169862,99,657.964108
10467.071044,111,659.869703
10536.896456,113,661.706029
11219.174076,112,663.509861
10359.487004,113,665.330265
9692.800728,100,667.315683
10425.349639,113,669.688115
10887.905372,100,671.526579
11238.957706,112,673.372894
10775.823205,113,675.203563
10794.832369,113,677.049352
10383.135262,103,678.755269
873.575958,23,679.264215
11253.911683,113,681.095104
9561.910199,99,682.681242
10306.794786,111,684.590788
10703.159261,116,686.464168
10787.976644,108,688.2829
11073.131818,112,690.314993
10805.858756,113,692.148469
9775.780903,102,693.943259
10880.532302,119,695.901786
9896.702478,101,697.865918
11631.7855,112,700.211856
9385.725845,98,701.802577
9979.892493,98,703.549999
10594.773772,110,705.332294
9890.647827,100,706.965511
10464.484922,111,708.723334
10750.218884,113,710.586586
10742.439522,110,712.391095
10465.652121,112,714.395207
8982.271578,114,716.247591
11588.524762,112,718.045167
11552.552761,118,720.035982
10436.744873,112,721.896072
10845.043438,111,723.695518
10088.210348,107,725.468832
9247.010109,112,727.449315
10799.056255,111,729.601382
10485.642951,111,731.849164
11760.97564,108,733.650937
11256.641526,113,735.557448
10187.553912,112,737.466015
10845.427349,112,739.453494
10767.470366,101,741.179327
10607.484462,112,743.058387
10846.892337,112,744.983119
10071.678158,101,746.609819
10519.135078,114,748.463806
9775.005623,113,750.31517
871.891569,25,750.855078
10486.728449,111,752.688503
10905.139306,109,754.533103
10137.136341,100,756.16417
11578.53737,111,758.227774
10243.092626,98,760.137184
10041.592215,102,762.299837
10114.842216,109,764.175842
11523.974933,108,765.94578
2917.833849,77,767.286085
10996.100808,112,769.146757
11264.467104,111,770.998665
